referent	EN_source_sentence	referent_embedding	sentence_source	OPUS_DE_translation	DE_gender	OPUS_ES_translation	ES_gender	DE_contrastive_TR	DE_contrastive_gender	ES_contrastive_TR	ES_contrastive_gender
attendant	Clearly, the objective was not to create the most hygienic elevator ever, although a spokesperson for the company does say that an elevator attendant is on duty to remove already-licked cake dots.	female_embedding_list	C4	Das Ziel war natürlich nicht, den hygienischsten Aufzug überhaupt zu schaffen, obwohl ein Sprecher des Unternehmens sagt, dass ein Aufzugsbegleiter die Pflicht hat, bereits geleckte Kuchenpunkte zu entfernen.	masculine	Claramente, el objetivo no era crear el ascensor más higiénico de la historia, aunque un portavoz de la empresa dice que un ascensorista está de servicio para eliminar puntos de pastel ya lacadas.	masculine	Das Ziel war natürlich nicht, den hygienischsten Aufzug überhaupt zu schaffen, obwohl ein Sprecher des Unternehmens sagt, dass eine Aufzugsbegleiterin die Pflicht hat, bereits geleckte Kuchenpunkte zu entfernen.	feminine	Claramente, el objetivo no era crear el ascensor más higiénico de la historia, aunque un portavoz de la empresa dice que una ascensorista está de servicio para eliminar puntos de pastel ya lacadas.	feminine
investigator	A report from the country's correctional investigator says overcrowding is one factor in why Canada's prisons are becoming more violent.	LLM_male_list	C4	In einem Bericht des Strafvollzugsdetektivs des Landes heißt es, dass Überbelegung ein Faktor ist, warum Kanadas Gefängnisse gewalttätiger werden.	masculine	Un informe del investigador penitenciario del país dice que el hacinamiento es uno de los factores por los que las prisiones de Canadá se están volviendo más violentas.	masculine	In einem Bericht der Strafvollzugsdetektivin des Landes heißt es, dass Überbelegung ein Faktor ist, warum Kanadas Gefängnisse gewalttätiger werden.	feminine	Un informe de la investigadora penitenciaria del país dice que el hacinamiento es uno de los factores por los que las prisiones de Canadá se están volviendo más violentas.	feminine
leader	He told me to look in the mirror and see myself as a great leader.	male_embedding_list	OpenSubtitles	Er sagte mir, ich solle in den Spiegel schauen und mich als großen Führer sehen.	masculine	Me dijo que me mirara al espejo y me viera como un gran líder.	masculine	Er sagte mir, ich solle in den Spiegel schauen und mich als große Führerin sehen.	feminine	Me dijo que me mirara al espejo y me viera como una gran lideresa.	feminine
idiot	Him and a possibly even bigger idiot took the suitcase, two hostages, and what sounded like my squad car, so --	male_embedding_list	OpenSubtitles	Er und ein vielleicht noch größerer Idiot nahmen den Koffer, zwei Geiseln und was sich anhörte wie mein Streifenwagen, also...	masculine	Él y un idiota posiblemente más grande tomaron la maleta, dos rehenes, y lo que sonaba como mi coche patrulla, así que...	masculine	Er und eine vielleicht noch größere Idiotin nahmen den Koffer, zwei Geiseln und was sich anhörte wie mein Streifenwagen, also...	feminine	Él y una idiota posiblemente más grande tomaron la maleta, dos rehenes, y lo que sonaba como mi coche patrulla, así que...	feminine
journalist	How does thriller writing compare to your work as a journalist?	LLM_male_list	C4	Wie vergleicht Thriller-Schreiben Ihre Arbeit als Journalist?	masculine	¿Cómo se compara la escritura de thriller con su trabajo como periodista?	neutral	Wie vergleicht Thriller-Schreiben Ihre Arbeit als Journalistin?	feminine	¿Cómo se compara la escritura de thriller con su trabajo como periodista?	neutral
pilot	You' re the new pilot of the Jupiter mission.	male_embedding_list	OpenSubtitles	Du bist der neue Pilot der Jupiter-Mission.	masculine	Eres el nuevo piloto de la misión de Júpiter.	masculine	Du bist die neue Pilotin der Jupiter-Mission.	feminine	Eres la nueva piloto de la misión de Júpiter.	feminine
coordinator	On the day of the wedding, the coordinator invited the three assistants of the make-up artist to go to one of the function rooms for lunch where they will be served chicken and pork adobo with rice.	female_embedding_list	C4	Am Tag der Hochzeit lud der Koordinator die drei Assistenten des Make-up-Künstlers ein, zum Mittagessen in einen der Veranstaltungsräume zu gehen, wo sie Hühnchen und Schweine-Adobo mit Reis serviert werden.	masculine	El día de la boda, el coordinador invitó a los tres asistentes del maquillador a ir a uno de los salones para el almuerzo donde se les servirá pollo y adobo de cerdo con arroz.	masculine	Am Tag der Hochzeit lud die Koordinatorin die drei Assistenten des Make-up-Künstlers ein, zum Mittagessen in einen der Veranstaltungsräume zu gehen, wo sie Hühnchen und Schweine-Adobo mit Reis serviert werden.	feminine	El día de la boda, la coordinadora invitó a los tres asistentes del maquillador a ir a uno de los salones para el almuerzo donde se les servirá pollo y adobo de cerdo con arroz.	feminine
assistant	Two drivers and a driver's assistant were wounded, and the bridge was heavily damaged.	female_embedding_list	C4	Zwei Fahrer und ein Fahrerassistent wurden verletzt, und die Brücke wurde schwer beschädigt.	masculine	Dos conductores y un ayudante de conductor resultaron heridos, y el puente sufrió graves daños.	masculine	Zwei Fahrer und eine Fahrerassistentin wurden verletzt, und die Brücke wurde schwer beschädigt.	feminine	Dos conductores y una ayudante de conductor resultaron heridos, y el puente sufrió graves daños.	feminine
singer	The "Miss Me More" singer has been added to a short list of singers from the pop and rock genres.	LLM_female_list	C4	Die Sängerin "Miss Me More" wurde zu einer kurzen Liste von Sängern aus den Pop- und Rock-Genres hinzugefügt.	feminine	La cantante de "Miss Me More" se ha añadido a una breve lista de cantantes de los géneros pop y rock.	feminine	Der Sänger "Miss Me More" wurde zu einer kurzen Liste von Sängern aus den Pop- und Rock-Genres hinzugefügt.	masculine	El cantante de "Miss Me More" se ha añadido a una breve lista de cantantes de los géneros pop y rock.	masculine
expert	How are you the expert on the dumbest shit?	LLM_neutral_list	OpenSubtitles	Wie bist du der Experte für die dümmste Scheiße?	masculine	¿Cómo es usted el experto en la mierda más tonta?	masculine	Wie bist du die Expertin für die dümmste Scheiße?	feminine	¿Cómo es usted la experta en la mierda más tonta?	feminine
hairstylist	You can definitely highlight your gorgeous curly hair. . shine, make sure you ask your hairstylist to mix in multiple shades of highlights and lowlights.	LLM_female_list	C4	Sie können auf jeden Fall Ihre wunderschönen lockigen Haare markieren. . glänzen, stellen Sie sicher, dass Sie Ihren Friseur bitten, in mehreren Schattierungen von Highlights und Lowlights zu mischen.	masculine	Definitivamente puedes resaltar tu hermoso cabello rizado. . brillar, asegúrate de pedirle a tu estilista que se mezcle en múltiples tonos de reflejos y luces bajas.	neutral	Sie können auf jeden Fall Ihre wunderschönen lockigen Haare markieren. . glänzen, stellen Sie sicher, dass Sie Ihre Friseurin bitten, in mehreren Schattierungen von Highlights und Lowlights zu mischen.	feminine	Definitivamente puedes resaltar tu hermoso cabello rizado. . brillar, asegúrate de pedirle a tu estilista que se mezcle en múltiples tonos de reflejos y luces bajas.	neutral
assistant	Truthfully, I also work mornings as a dental assistant.	female_embedding_list	OpenSubtitles	Ehrlich gesagt, arbeite ich auch morgens als Zahnarztassistentin.	masculine	A decir verdad, también trabajo por las mañanas como asistente dental.	neutral	Ehrlich gesagt, arbeite ich auch morgens als Zahnarztassistent.	masculine	A decir verdad, también trabajo por las mañanas como asistente dental.	neutral
champion	You are going to be my lone champion... my staunch defender, my dyke in shining armor.	male_embedding_list	OpenSubtitles	Du wirst mein einsamer Champion sein, mein standhafter Verteidiger, mein Deich in glänzender Rüstung.	masculine	Vas a ser mi único campeón... mi firme defensor, mi dique en brillante armadura.	masculine	Du wirst meine einsame Champion sein, meine standhafte Verteidigerin, mein Deich in glänzender Rüstung.	feminine	Vas a ser mi única campeona... mi firme defensora, mi dique en brillante armadura.	feminine
associate	An associate of mine brought this salad to our party.	LLM_neutral_list	C4	Ein Mitarbeiter von mir brachte diesen Salat zu unserer Party.	masculine	Un socio mío trajo esta ensalada a nuestra fiesta.	masculine	Eine Mitarbeiterin von mir brachte diesen Salat zu unserer Party.	feminine	Una socia mía trajo esta ensalada a nuestra fiesta.	feminine
activist	A radical Aboriginal activist, of part English-Irish descent, argues that what Aborigines really want is land compensation, discreet non-dictatorial help, and to be left alone by white Australia.	LLM_neutral_list	C4	Ein radikaler Aborigines-Aktivist, teilweise englischsprachig-irischer Abstammung, argumentiert, dass Aborigines wirklich Landentschädigung, diskrete nicht-diktatoriale Hilfe und von weißem Australien allein gelassen werden wollen.	masculine	Un activista aborigen radical, de ascendencia parte inglés-irlandesa, argumenta que lo que realmente quieren los aborígenes es la compensación de tierras, la ayuda discreta no dictatorial, y ser dejado solo por la Australia blanca.	masculine	Eine radikale Aborigines-Aktivistin, teilweise englischsprachig-irischer Abstammung, argumentiert, dass Aborigines wirklich Landentschädigung, diskrete nicht-diktatoriale Hilfe und von weißem Australien allein gelassen werden wollen.	feminine	Una activista aborigen radical, de ascendencia parte inglés-irlandesa, argumenta que lo que realmente quieren los aborígenes es la compensación de tierras, la ayuda discreta no dictatorial, y ser dejado solo por la Australia blanca.	feminine
student	Contact MTE today to inquire about PSAT or ACT and SAT math prep review for your student.	female_embedding_list	C4	Kontaktieren Sie MTE noch heute, um sich über PSAT oder ACT und SAT Mathe Vorbereitung Bewertung für Ihren Schüler zu erkundigen.	masculine	Póngase en contacto con MTE hoy para preguntar acerca de PSAT o ACT y SAT revisión de preparación de matemáticas para su estudiante.	neutral	Kontaktieren Sie MTE noch heute, um sich über PSAT oder ACT und SAT Mathe Vorbereitung Bewertung für Ihre Schülerin zu erkundigen.	feminine	Póngase en contacto con MTE hoy para preguntar acerca de PSAT o ACT y SAT revisión de preparación de matemáticas para su estudiante.	neutral
salesperson	A great communicator, my salesperson answered all my questions about the WilsonArt flooring purchased.	male_embedding_list	C4	Ein großer Kommunikator, mein Verkäufer beantwortete alle meine Fragen über den WilsonArt Bodenbelag gekauft.	masculine	Un gran comunicador, mi vendedor respondió a todas mis preguntas sobre el piso WilsonArt comprado.	masculine	Eine große Kommunikatorin, meine Verkäuferin beantwortete alle meine Fragen über den WilsonArt Bodenbelag gekauft.	feminine	Un gran comunicador, mi vendedora respondió a todas mis preguntas sobre el piso WilsonArt comprado.	feminine
adult	I suggest you start taking yourself seriously as an adult.	LLM_neutral_list	OpenSubtitles	Ich schlage vor, Sie nehmen sich als Erwachsener ernst.	masculine	Te sugiero que empieces a tomarte en serio como adulto.	masculine	Ich schlage vor, Sie nehmen sich als Erwachsene ernst.	feminine	Te sugiero que empieces a tomarte en serio como adulta.	feminine
resident	As a guest, you share the village with day-trippers between 9.30am and 5.30pm, but in the early morning and evening you are a make-believe resident in an architectural wonderland.	LLM_neutral_list	C4	Als Gast teilen Sie sich das Dorf mit Tagesausflugern zwischen 9.30 und 17.30 Uhr, aber am frühen Morgen und am Abend sind Sie ein make-inficial Bewohner in einem architektonischen Wunderland.	masculine	Como huésped, usted comparte el pueblo con los viajeros de un día entre las 9.30 y las 17.30 horas, pero por la mañana temprano y por la noche usted es un residente imaginario en un país de maravillas arquitectónicas.	masculine	Als Gast teilen Sie sich das Dorf mit Tagesausflugern zwischen 9.30 und 17.30 Uhr, aber am frühen Morgen und am Abend sind Sie eine make-inficial Bewohnerin in einem architektonischen Wunderland.	feminine	Como huésped, usted comparte el pueblo con los viajeros de un día entre las 9.30 y las 17.30 horas, pero por la mañana temprano y por la noche usted es una residente imaginaria en un país de maravillas arquitectónicas.	feminine
patient	I don' t intend to mock you, officer, but I' m cancer patient.	LLM_neutral_list	OpenSubtitles	Ich will Sie nicht verspotten, Officer, aber ich bin Krebspatient.	masculine	No pretendo burlarme de usted, agente, pero soy paciente de cáncer.	neutral	Ich will Sie nicht verspotten, Officer, aber ich bin Krebspatientin.	feminine	No pretendo burlarme de usted, agente, pero soy paciente de cáncer.	neutral
cheerleader	That' s right, I am a cheerleader, and you' re a dumb ass.	LLM_female_list	OpenSubtitles	Das stimmt, ich bin Cheerleader und du bist ein dummer Arsch.	masculine	Así es, soy una animadora, y tú eres un idiota.	masculine	Das stimmt, ich bin Cheerleaderin und du bist ein dummer Arsch.	feminine	Así es, soy un animador, y tú eres un idiota.	masculine
dietitian	Kickstarting with the Whole30 diet may be a good choice, a dietitian suggests.	LLM_female_list	C4	Kickstarting mit der Whole30-Diät kann eine gute Wahl sein, schlägt ein Ernährungsberater.	masculine	Kickstarting con la dieta Whole30 puede ser una buena opción, sugiere un dietista.	masculine	Kickstarting mit der Whole30-Diät kann eine gute Wahl sein, schlägt eine Ernährungsberaterin.	feminine	Kickstarting con la dieta Whole30 puede ser una buena opción, sugiere una dietista.	feminine
entrepreneur	As an entrepreneur, self-publishing a book can be a great way for you to build authority and share your ideas with a potentially unlimited number of people.	LLM_male_list	C4	Als Unternehmer kann das Selbstveröffentlichen eines Buches eine großartige Möglichkeit für Sie sein, Autorität aufzubauen und Ihre Ideen mit einer potenziell unbegrenzten Anzahl von Menschen zu teilen.	masculine	Como empresario, la autoedición de un libro puede ser una gran manera de construir autoridad y compartir sus ideas con un número potencialmente ilimitado de personas.	masculine	Als Unternehmerin kann das Selbstveröffentlichen eines Buches eine großartige Möglichkeit für Sie sein, Autorität aufzubauen und Ihre Ideen mit einer potenziell unbegrenzten Anzahl von Menschen zu teilen.	feminine	Como empresaria, la autoedición de un libro puede ser una gran manera de construir autoridad y compartir sus ideas con un número potencialmente ilimitado de personas.	feminine
magician	There is a magician...... in Nepal, that cultivates trees antigravity.	male_embedding_list	OpenSubtitles	Es gibt einen Magier... in Nepal, der Antigravitation anbaut.	masculine	Hay un mago en Nepal que cultiva la antigravedad de los árboles.	masculine	Es gibt eine Magierin... in Nepal, die Antigravitation anbaut.	feminine	Hay una maga en Nepal que cultiva la antigravedad de los árboles.	feminine
minister	Just go and see your nearest Christian priest or minister and they will help you.	male_embedding_list	C4	Geh einfach zu deinem nächsten christlichen Priester oder Pfarrer, und sie werden dir helfen.	masculine	Ve a ver a tu sacerdote o ministro cristiano más cercano y ellos te ayudarán.	masculine	Geh einfach zu deiner nächsten christlichen Priesterin oder Pfarrerin, und sie werden dir helfen.	feminine	Ve a ver a tu sacerdote o ministra cristiana más cercana y ellos te ayudarán.	feminine
teen	With a little creativity and a little information about your teen, you are guaranteed to pick something that won’t sit in a drawer with the tags still on it.	female_embedding_list	C4	Mit ein wenig Kreativität und ein wenig Informationen über Ihren Teen, Sie sind garantiert, etwas zu wählen, das nicht in einer Schublade sitzen mit den Tags noch darauf.	masculine	Con un poco de creatividad y un poco de información sobre su hijo adolescente, usted está garantizado a elegir algo que no se sentará en un cajón con las etiquetas todavía en él.	masculine	Mit ein wenig Kreativität und ein wenig Informationen über Ihre Teen, Sie sind garantiert, etwas zu wählen, das nicht in einer Schublade sitzen mit den Tags noch darauf.	feminine	Con un poco de creatividad y un poco de información sobre su hija adolescente, usted está garantizado a elegir algo que no se sentará en un cajón con las etiquetas todavía en él.	feminine
developer	The prostitute said the former Home Depot web developer paid $125 for a 30-minute session, which took place less than three weeks before Harris’ 22-month-old son was found dead inside a hot SUV.	male_embedding_list	C4	Die Prostituierte sagte, dass der ehemalige Home Depot Web-Entwickler $125 für eine 30-minütige Sitzung bezahlte, die weniger als drei Wochen bevor Harris-22-monatiger Sohn tot in einem heißen SUV aufgefunden wurde.	masculine	La prostituta dijo que el ex desarrollador web Home Depot pagó $125 por una sesión de 30 minutos, que tuvo lugar menos de tres semanas antes de que Harris’ 22 meses de edad, hijo fue encontrado muerto dentro de un SUV caliente.	masculine	Die Prostituierte sagte, dass die ehemalige Home Depot Web-Entwicklerin $125 für eine 30-minütige Sitzung bezahlte, die weniger als drei Wochen bevor Harris-22-monatiger Sohn tot in einem heißen SUV aufgefunden wurde.	feminine	La prostituta dijo que la ex desarrolladora web Home Depot pagó $125 por una sesión de 30 minutos, que tuvo lugar menos de tres semanas antes de que Harris’ 22 meses de edad, hijo fue encontrado muerto dentro de un SUV caliente.	feminine
student	Because my vermin is a former student of yours.	female_embedding_list	OpenSubtitles	Weil mein Ungeziefer ein ehemaliger Schüler von dir ist.	masculine	Porque mi alimaña es una antigua estudiante tuya.	feminine	Weil mein Ungeziefer eine ehemalige Schülerin von dir ist.	feminine	Porque mi alimaña es un antiguo estudiante tuya.	masculine
singer	I will miss the audition for singer in restaurant "Lipov lad" - the best restaurant in Belgrade!	LLM_female_list	OpenSubtitles	Ich werde das Vorsprechen für Sänger im Restaurant "Lipov lad" vermissen - das beste Restaurant in Belgrad!	masculine	Me perderé la audición para cantante en el restaurante "Lipov lad" - el mejor restaurante de Belgrado!	neutral	Ich werde das Vorsprechen für Sängerin im Restaurant "Lipov lad" vermissen - das beste Restaurant in Belgrad!	feminine	Me perderé la audición para cantante en el restaurante "Lipov lad" - el mejor restaurante de Belgrado!	neutral
director	However, my town, Hackensack, was able to hire a civilian director who had recently retired.	LLM_male_list	C4	Meine Stadt, Hackensack, konnte jedoch einen zivilen Direktor einstellen, der vor kurzem in Rente gegangen war.	masculine	Sin embargo, mi ciudad, Hackensack, fue capaz de contratar a un director civil que se había retirado recientemente.	masculine	Meine Stadt, Hackensack, konnte jedoch eine zivile Direktorin einstellen, die vor kurzem in Rente gegangen war.	feminine	Sin embargo, mi ciudad, Hackensack, fue capaz de contratar a una directora civil que se había retirado recientemente.	feminine
follower	If you are already a follower of this blog, then you get a free copy ‘cos you are special.	male_embedding_list	C4	Wenn Sie bereits ein Anhänger dieses Blogs sind, dann erhalten Sie eine kostenlose Kopie ‘, weil Sie etwas Besonderes sind.	masculine	Si ya eres un seguidor de este blog, entonces obtienes una copia gratuita ‘porque eres especial.	masculine	Wenn Sie bereits eine Anhängerin dieses Blogs sind, dann erhalten Sie eine kostenlose Kopie ‘, weil Sie etwas Besonderes sind.	feminine	Si ya eres una seguidora de este blog, entonces obtienes una copia gratuita ‘porque eres especial.	feminine
dancer	You can purchase these genuine FireWorks toys for yourself direct from us, whether you're a budding fire dancer or a hard-core professional.	female_embedding_list	C4	Sie können diese echten FireWorks Spielzeuge direkt bei uns kaufen, egal ob Sie ein angehender Feuertänzer oder ein Hardcore-Profi sind.	masculine	Usted puede comprar estos juguetes genuinos de FireWorks para usted directamente de nosotros, ya sea que usted es un bailarín de fuego en ciernes o un profesional duro.	masculine	Sie können diese echten FireWorks Spielzeuge direkt bei uns kaufen, egal ob Sie eine angehende Feuertänzerin oder ein Hardcore-Profi sind.	feminine	Usted puede comprar estos juguetes genuinos de FireWorks para usted directamente de nosotros, ya sea que usted es una bailarina de fuego en ciernes o una profesional dura.	feminine
gamer	For your gamer to achieve that, this individual really should make use of wonderful tennis cristiano ronaldo shoes equipment.	LLM_neutral_list	C4	Damit Ihr Spieler, dass zu erreichen, sollte diese Person wirklich Gebrauch von wunderbaren Tennis Cristiano Ronaldo Schuhe Ausrüstung machen.	masculine	Para que su jugador para lograr eso, este individuo realmente debe hacer uso de un maravilloso equipo de tenis cristiano ronaldo zapatos.	masculine	Damit Ihre Spielerin, dass zu erreichen, sollte diese Person wirklich Gebrauch von wunderbaren Tennis Cristiano Ronaldo Schuhe Ausrüstung machen.	feminine	Para que su jugadora para lograr eso, esta individua realmente debe hacer uso de un maravilloso equipo de tenis cristiano ronaldo zapatos.	feminine
counselor	As a marriage counselor for the last ten years, I have studied closely what it takes to resuscitate the damaged heart of marriages on the brink of divorce.	female_embedding_list	C4	Als Eheberaterin der letzten zehn Jahre habe ich genau untersucht, was nötig ist, um das beschädigte Herz der Ehen am Rande der Scheidung wiederzubeleben.	feminine	Como consejero matrimonial durante los últimos diez años, he estudiado de cerca lo que se necesita para resucitar el corazón dañado de los matrimonios al borde del divorcio.	masculine	Als Eheberater der letzten zehn Jahre habe ich genau untersucht, was nötig ist, um das beschädigte Herz der Ehen am Rande der Scheidung wiederzubeleben.	masculine	Como consejera matrimonial durante los últimos diez años, he estudiado de cerca lo que se necesita para resucitar el corazón dañado de los matrimonios al borde del divorcio.	feminine
passenger	Some of the plots have been identified and plaques on the houses inform you which passenger owned the plot of land upon which the current house now sits.	LLM_neutral_list	C4	Einige der Grundstücke wurden identifiziert und Plaketten auf den Häusern informieren Sie, welche Passagier im Besitz des Grundstücks, auf dem das aktuelle Haus jetzt sitzt.	masculine	Algunas de las parcelas han sido identificadas y las placas de las casas le informan qué pasajero era dueño de la parcela de tierra en la que se encuentra la casa actual.	masculine	Einige der Grundstücke wurden identifiziert und Plaketten auf den Häusern informieren Sie, welche Passagierin im Besitz des Grundstücks, auf dem das aktuelle Haus jetzt sitzt.	feminine	Algunas de las parcelas han sido identificadas y las placas de las casas le informan qué pasajera era dueña de la parcela de tierra en la que se encuentra la casa actual.	feminine
expert	Like I said, you' re the expert but do you remember the plan I outlined...... the day I set fire to your....	LLM_neutral_list	OpenSubtitles	Wie gesagt, du bist der Experte, aber erinnerst du dich an den Plan, den ich skizziert habe... an dem Tag, an dem ich dein...	masculine	Como dije, tú eres el experto pero recuerdas el plan que esbocé... el día que prendí fuego a tu...	masculine	Wie gesagt, du bist die Expertin, aber erinnerst du dich an den Plan, den ich skizziert habe... an dem Tag, an dem ich dein...	feminine	Como dije, tú eres la experta pero recuerdas el plan que esbocé... el día que prendí fuego a tu...	feminine
athlete	It seems pretty clear that this is an elite athlete and this is not something to try at home.	LLM_male_list	C4	Es scheint ziemlich klar, dass dies ein Elite-Sportler ist und dies ist nicht etwas zu Hause versuchen.	masculine	Parece bastante claro que este es un atleta de élite y esto no es algo para probar en casa.	masculine	Es scheint ziemlich klar, dass dies eine Elite-Sportlerin ist und dies ist nicht etwas zu Hause versuchen.	feminine	Parece bastante claro que esta es una atleta de élite y esto no es algo para probar en casa.	feminine
